agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,diseaseEffectiveReproductionRate,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,seed,sickAgents,sickAgentsPercentage,timestep,tradeVolume
0,1,2,0,100.0,20.2,1,201,22.61,58.51550392501201,4537.04,1,0,120,0,0,0,5000,7982,0.239,1,39,171.85,27.2,30.0,-0.02,3.92,0.1,1.44,1.0,1.97,3.2,-1.0,0.5,1.52,3.76,88.96,-0.14,17.98,51,3,8412927684506142269,0,0.0,31,3
0,0,0,0,100.0,20.39,0,201,23.1,81.62449031794398,4618.04,0,0,117,0,0,0,5000,7989,0.241,1,39,175.85,28.2,0,0.0,0.0,0.1,1.53,1.0,1.97,3.2,-1.0,0.56,1.14,3.76,90.55,-0.14,15.98,51,3,8412927684506142269,0,0.0,32,8
0,1,2,0,100.0,21.11,1,195,24.28,70.3910768690705,4524.45,0,0,114,0,0,0,5000,8002,0.247,1,38,179.85,29.57,19.0,-0.02,4.08,0.1,1.54,1.0,1.99,3.29,-1.0,0.61,1.33,3.71,92.34,-0.14,13.98,49,3,8412927684506142269,0,0.0,33,5
0,1,1,0,100.0,21.76,0,191,25.32,15.152785561720322,4601.45,0,0,111,0,0,0,5000,8019,0.251,1,38,183.85,30.5,33.0,-0.02,2.08,0.08,1.59,1.0,1.99,3.33,-1.0,0.61,1.44,3.77,95.86,-0.08,11.98,48,3,8412927684506142269,0,0.0,34,3
0,0,0,0,100.0,21.76,0,193,25.28,25.999999999999993,4687.45,1,0,108,0,0,0,5000,8010,0.254,1,37,187.85,30.88,0,0.0,0.0,0.08,1.56,1.0,1.97,3.35,-1.0,0.59,1.03,3.82,95.66,-0.1,9.98,49,3,8412927684506142269,0,0.0,35,6
0,1,1,0,100.0,21.63,0,193,25.62,43.665801110204384,4716.74,1,0,106,0,0,0,5000,8014,0.256,1,36,191.85,31.16,35.0,-0.02,2.04,0.08,1.55,1.0,1.97,3.37,-1.0,0.59,1.71,3.9,96.26,-0.1,6.98,49,3,8412927684506142269,0,0.0,36,5
0,1,1,0,100.0,22.15,0,189,26.89,89.9448888095016,4678.95,0,0,104,0,0,0,5000,8025,0.263,1,37,195.85,32.06,36.0,-0.02,2.08,0.08,1.58,1.0,1.97,3.42,-1.0,0.64,1.53,3.85,97.48,-0.12,3.98,48,3,8412927684506142269,0,0.0,37,6
0,0,0,0,100.0,22.12,0,189,27.38,67.17390704478973,4756.95,0,0,102,0,0,0,5000,8027,0.265,1,36,199.85,33.06,0,0.0,0.0,0.08,1.62,1.0,1.97,3.42,-1.0,0.66,2.18,3.85,99.1,-0.12,0.98,48,3,8412927684506142269,0,0.0,38,5
0,2,3,0,100.0,22.95,1,175,29.15,70.81491325600179,4675.38,0,0,100,0,0,0,5000,8045,0.249,1,34,203.85,33.73,38.0,-0.04,6.67,0.09,1.62,1.0,1.94,3.51,-1.0,0.67,1.49,4.0,103.9,-0.1,30.42,45,3,8412927684506142269,0,0.0,39,2
0,1,1,0,100.0,22.56,0,181,28.54,-58.919903639916484,4652.96,3,0,98,0,0,0,5000,8032,0.262,1,32,192.32,32.47,39.0,-0.02,2.13,0.13,1.46,1.0,1.93,3.51,-1.0,0.58,1.33,4.09,99.0,-0.23,30.42,47,3,8412927684506142269,0,0.0,40,9
0,1,1,0,100.0,22.2,0,179,29.01,82.93067399501861,4661.94,0,0,96,0,0,0,5000,8033,0.265,1,32,195.32,34.15,1.0,-0.02,2.17,0.13,1.66,1.0,1.95,3.5,-1.0,0.64,1.48,4.04,101.35,-0.09,30.42,46,3,8412927684506142269,0,0.0,41,4
0,1,1,0,100.0,21.42,0,180,28.92,23.87632124989492,4614.34,1,0,94,0,0,0,5000,8030,0.277,1,32,198.32,34.59,26.0,-0.02,2.17,0.13,1.61,1.0,1.96,3.54,-1.0,0.63,1.62,3.96,100.31,-0.13,30.42,46,3,8412927684506142269,0,0.0,42,9
0,0,0,0,100.0,21.35,0,180,29.49,81.51324077455776,4696.34,0,0,92,0,0,0,5000,8033,0.277,1,29,200.32,35.59,0,0.0,0.0,0.13,1.68,1.0,1.96,3.54,-1.0,0.65,1.35,3.96,102.09,-0.1,30.42,46,3,8412927684506142269,0,0.0,43,8
0,0,0,0,100.0,21.23,0,182,29.42,52.535701553678486,4786.34,1,0,90,0,0,0,5000,8025,0.274,1,30,202.32,35.83,0,0.0,0.0,0.13,1.67,1.0,1.94,3.53,-1.0,0.65,1.0,4.0,101.84,-0.11,29.97,47,3,8412927684506142269,0,0.0,44,4
0,0,0,0,100.0,21.17,0,182,30.04,84.99999999999999,4871.34,0,0,88,0,0,0,5000,8021,0.275,1,30,205.32,36.83,0,0.0,0.0,0.13,1.71,1.0,1.94,3.53,-1.0,0.66,1.02,4.0,103.65,-0.08,27.97,47,3,8412927684506142269,0,0.0,45,5
0,1,1,0,100.0,20.93,0,180,30.35,62.746490943165085,4909.84,1,0,86,0,0,0,5000,8017,0.277,1,30,208.32,37.43,19.0,-0.02,2.13,0.11,1.67,1.0,1.91,3.49,-1.0,0.65,1.0,4.09,104.46,-0.06,25.97,47,3,8412927684506142269,0,0.0,46,5
0,1,1,0,100.0,20.86,0,177,30.89,53.52648040960634,4967.42,1,0,85,0,0,0,5000,8024,0.266,1,31,205.33,37.74,32.0,-0.02,2.13,0.09,1.66,1.0,1.88,3.55,-1.0,0.66,1.0,4.13,105.69,-0.06,23.97,47,3,8412927684506142269,0,0.0,47,7
0,0,0,0,100.0,20.64,0,177,31.46,84.96430288036024,5052.42,0,0,84,0,0,0,5000,8029,0.266,1,30,209.33,38.74,0,0.0,0.0,0.08,1.71,1.0,1.88,3.55,-1.0,0.69,1.13,4.13,107.5,-0.06,22.97,47,3,8412927684506142269,0,0.0,48,5
